,hpoID,Acc_cv1,Acc_cv2,Acc_cv3,Acc_cv4,Acc_cv5,Acc_cv_Avg
76,76.0,84.61538696289062,54.69953918457031,53.46687316894531,87.82743072509766,60.55470275878906,68.2327865600586
77,77.0,64.92308044433594,71.18643951416016,53.92912292480469,53.46687316894531,75.34668731689453,63.770440673828126
78,78.0,55.53845977783203,45.45454788208008,47.4576301574707,54.85362243652344,53.77503967285156,51.41585998535156
79,79.0,54.769229888916016,68.72111511230469,54.08320617675781,53.46687316894531,54.23728942871094,57.05554275512695
80,80.0,89.84615325927734,91.06317901611328,90.75501251220703,90.75501251220703,92.91217803955078,91.0663070678711
81,81.0,53.846153259277344,59.47611999511719,54.54545593261719,87.82743072509766,54.39137268066406,62.01730651855469
82,82.0,52.46154022216797,56.08628845214844,45.6086311340332,53.77503967285156,47.76579666137695,51.139459228515626
83,83.0,71.23076629638672,56.70262145996094,61.94145202636719,59.63020324707031,56.85670471191406,61.27234954833985
84,84.0,46.30769348144531,55.00770568847656,55.16178894042969,54.08320617675781,53.46687316894531,52.80545349121094
85,85.0,93.07691955566406,89.21417999267578,93.99076080322266,92.60401153564453,92.60401153564453,92.29797668457032
86,86.0,44.769229888916016,65.94761657714844,71.4946060180664,54.39137268066406,46.53313064575195,56.627191162109376
87,87.0,91.84615325927734,87.5192642211914,92.29584503173828,91.52542877197266,89.67642974853516,90.57262420654297
88,88.0,92.15384674072266,89.06009674072266,94.14484405517578,94.14484405517578,92.29584503173828,92.35989532470703
89,89.0,88.15384674072266,82.74268341064453,72.88135528564453,88.1355972290039,87.05701446533203,83.79409942626953
90,90.0,93.84615325927734,93.22034454345703,93.37442779541016,91.06317901611328,93.6825942993164,93.03733978271484
91,91.0,67.53845977783203,86.9029312133789,83.2049331665039,53.77503967285156,87.67334747314453,75.81894226074219
92,92.0,88.61538696289062,85.82434844970703,86.2865982055664,54.08320617675781,54.39137268066406,73.84018249511719
93,93.0,92.92308044433594,92.14176177978516,91.98767852783203,92.91217803955078,93.83667755126953,92.7602752685547
94,94.0,91.53845977783203,90.90909576416016,91.8335952758789,91.67951202392578,93.99076080322266,91.9902847290039
95,95.0,88.15384674072266,89.06009674072266,88.1355972290039,92.4499282836914,87.82743072509766,89.12537994384766
96,96.0,55.53845977783203,56.70262145996094,54.85362243652344,73.9599380493164,56.54853820800781,59.520635986328124
97,97.0,94.15384674072266,91.8335952758789,90.13867950439453,89.9845962524414,87.98151397705078,90.81844635009766
98,98.0,91.53845977783203,92.75809478759766,88.90601348876953,90.75501251220703,91.98767852783203,91.18905181884766
