,hpoID,Loss_cv1,Loss_cv2,Loss_cv3,Loss_cv4,Loss_cv5,Loss_cv_Avg
49,49.0,0.6491103768348694,0.6485697627067566,0.6436747908592224,0.6447751522064209,0.7490966320037842,0.6670453429222107
50,50.0,0.6704438328742981,0.6259363293647766,0.6856546998023987,0.6561221480369568,0.6454235911369324,0.6567161202430725
51,51.0,0.6799386143684387,0.6850243210792542,0.663162112236023,0.7161728739738464,0.6516780853271484,0.6791952013969421
52,52.0,0.5431225895881653,0.42619332671165466,0.39906027913093567,0.3956783413887024,0.3576052188873291,0.4243319511413574
53,53.0,0.6675777435302734,0.6105230450630188,0.6483870148658752,0.5659322142601013,0.5970346331596375,0.6178909301757812
54,54.0,0.6532908082008362,0.6354354619979858,0.6078582406044006,0.624215304851532,0.6096503734588623,0.6260900378227234
55,55.0,0.6439896821975708,0.5793873071670532,0.653965413570404,0.5889280438423157,0.610279381275177,0.6153099656105041
56,56.0,0.29524263739585876,0.46539759635925293,0.2775646150112152,0.31164973974227905,0.43185144662857056,0.3563412070274353
57,57.0,0.5750131011009216,0.6707302927970886,0.6505293846130371,0.6035076379776001,0.6044540405273438,0.6208468914031983
58,58.0,0.49333223700523376,0.5641343593597412,0.5726870894432068,0.4267461597919464,0.575007975101471,0.5263815641403198
59,59.0,0.6813732981681824,0.6677692532539368,0.6969756484031677,0.6852232217788696,0.6838334202766418,0.6830349683761596
60,60.0,0.722954273223877,0.6873518228530884,0.6767446398735046,0.6682323813438416,0.6885367035865784,0.688763964176178
61,61.0,0.6461108922958374,0.5766724944114685,0.5543028712272644,0.6729567050933838,0.6095556020736694,0.6119197130203247
62,62.0,0.6750776171684265,0.6799325346946716,0.6800860166549683,0.716110110282898,0.7040703296661377,0.6910553216934204
63,63.0,0.30279648303985596,0.47108930349349976,0.42518022656440735,0.34732142090797424,0.4871865510940552,0.4067147970199585
64,64.0,0.6659538745880127,0.6744870543479919,0.6443670988082886,0.7097970247268677,0.693088173866272,0.6775386452674865
65,65.0,0.607778787612915,0.6131858825683594,0.6951433420181274,0.6252871751785278,0.6182047128677368,0.6319199800491333
66,66.0,0.6651766300201416,0.6962190270423889,0.6755620837211609,0.6496608853340149,0.6408994197845459,0.6655036091804505
67,67.0,0.24383418262004852,0.3046702444553375,0.5462773442268372,0.583601713180542,0.2924463748931885,0.39416597187519076
68,68.0,0.6699841022491455,0.6408116817474365,0.6920638084411621,0.6906206011772156,0.6559587717056274,0.6698877930641174
69,69.0,0.6792102456092834,0.7040451765060425,0.6771013140678406,0.6826409101486206,0.700364887714386,0.6886725068092346
70,70.0,0.5782001614570618,0.4664173722267151,0.6457875967025757,0.5180471539497375,0.4763859808444977,0.5369676530361176
71,71.0,0.6584164500236511,0.6788329482078552,0.688904881477356,0.6439974308013916,0.6805132627487183,0.6701329946517944
72,72.0,0.6332412362098694,0.5946328043937683,0.6705089211463928,0.57159024477005,0.6478452682495117,0.6235636949539185
73,73.0,0.6564905047416687,0.7460529208183289,0.6739158034324646,0.7724504470825195,0.7267645001411438,0.7151348352432251
74,74.0,0.34709975123405457,0.4277615547180176,0.4046940505504608,0.3556792438030243,0.2983986735343933,0.3667266547679901
75,75.0,0.6125776767730713,0.5283330082893372,0.44963589310646057,0.2954072952270508,0.35432323813438416,0.44805542230606077
76,76.0,0.6477667689323425,0.6962749361991882,0.6587435603141785,0.6340118050575256,0.6148096323013306,0.6503213405609131
77,77.0,0.6561315059661865,0.6619994640350342,0.6771836280822754,0.6534098386764526,0.6442581415176392,0.6585965156555176
78,78.0,0.6977959871292114,0.7099472880363464,0.7008536458015442,0.6995110511779785,0.6767027378082275,0.6969621419906616
79,79.0,0.6937816739082336,0.6698228716850281,0.6930766105651855,0.6726202368736267,0.6732662916183472,0.6805135369300842
80,80.0,0.40582218766212463,0.39367616176605225,0.31093111634254456,0.4189090132713318,0.28877130150794983,0.3636219561100006
81,81.0,0.6274230480194092,0.6340929269790649,0.6184515357017517,0.5544631481170654,0.63979572057724,0.6148452758789062
82,82.0,0.6951035857200623,0.6831536293029785,0.7126914858818054,0.6780698299407959,0.7006402611732483,0.6939317584037781
83,83.0,0.6675297021865845,0.6790294647216797,0.6651359796524048,0.6878462433815002,0.6651405692100525,0.6729363918304443
84,84.0,0.7639581561088562,0.6918155550956726,0.6890775561332703,0.6923058032989502,0.6976307034492493,0.7069575548171997
85,85.0,0.30022329092025757,0.3327030837535858,0.30092403292655945,0.2758731245994568,0.3674503266811371,0.31543477177619933
86,86.0,0.7347615957260132,0.6778836250305176,0.6682318449020386,0.6613809466362,0.7143127918243408,0.691314160823822
87,87.0,0.34150728583335876,0.41385599970817566,0.3838373124599457,0.3243730068206787,0.43904075026512146,0.3805228710174561
88,88.0,0.3135106563568115,0.4571421444416046,0.2616788446903229,0.31006383895874023,0.23779937624931335,0.3160389721393585
89,89.0,0.5365187525749207,0.620344340801239,0.5717529654502869,0.5396254062652588,0.5130911469459534,0.5562665224075317
90,90.0,0.2530408799648285,0.2846149504184723,0.24496310949325562,0.3048306405544281,0.21821127831935883,0.26113217175006864
91,91.0,0.5935251116752625,0.6176420450210571,0.5961980223655701,0.6309848427772522,0.6240013837814331,0.612470281124115
92,92.0,0.580560564994812,0.6067981719970703,0.5819208025932312,0.6683152318000793,0.6700878739356995,0.6215365290641784
93,93.0,0.2959847152233124,0.28826969861984253,0.3022274971008301,0.40232884883880615,0.3362041413784027,0.3250029802322388
94,94.0,0.382561594247818,0.4093610346317291,0.37674233317375183,0.3153080642223358,0.41129934787750244,0.37905447483062743
95,95.0,0.49123498797416687,0.5074714422225952,0.5353037118911743,0.4495093524456024,0.48127973079681396,0.49295984506607055
96,96.0,0.6829798221588135,0.6448792219161987,0.6656420230865479,0.6579930186271667,0.6461179852485657,0.6595224142074585
97,97.0,0.29879558086395264,0.3376295268535614,0.3308863043785095,0.3314480185508728,0.4734027087688446,0.3544324278831482
98,98.0,0.36922335624694824,0.37459006905555725,0.525265634059906,0.4598996341228485,0.4406903386116028,0.43393380641937257
